Movie,Year,Score,Adjusted Score,Director,Cast,Consensus,Box Office Collection,Imdb_genre,IMDB Rating,metascore,time_minute,Votes,Is Common Movie
Shirkers,2018,99,101.615,Sandi Tan,,"In 1992 teenager Sandi Tan shoots Singapore's first road movie with her enigmatic American mentor, Georges, who then absconded with...",,,,,,,FALSE
Knock Down the House,2019,99,105.076,Rachel Lears,Alexandria Ocasio-Cortez,"A young bartender in the Bronx, a coal miner's daughter in West Virginia, a grieving mother in Nevada, and a...",,,,,,,FALSE
Strong Island,2017,100,102.854,Yance Ford,"Yance Ford, Harvey Walker, Kevin Myers, Lauren Ford","When filmmaker Yance Ford investigates the 1992 murder of a young black man, it becomes an achingly personal journey since...",,,,,,,TRUE
Athlete A,2020,100,103.401,Bonni Cohen,"Maggie Nichols, Jerry Moran, Jen Sey",Reporters from The Indianapolis Star expose Dr. Larry Nassar's sexual abuse of young gymnasts....,,,,,,,FALSE
The Square,2013,100,102.161,Jehane Noujaim,"Ahmed Hassan, Khalid Abdalla, Magdy Ashour, Ramy Essam",Egyptian revolutionaries battle their leaders and regime to build a new society....,8758343,Comedy,7.2,73,151,62274,TRUE
Dick Johnson Is Dead,2020,100,106.204,Kirsten Johnson,"Kirsten Johnson, Dick Johnson",A filmmaker and her elderly father stage his death in various ways to help them face his inevitable demise....,,,,,,,FALSE
Crip Camp,2020,100,106.584,Jim LeBrecht,"Dennis Billups, HolLynn D'Lil, Judith Heumann, Denise Sherer Jacobson",A groundbreaking summer camp galvanizes teens who have disabilities....,,,,,,,TRUE
Slumber Party Massacre,1982,42,35.902,Amy Jones,"Michele Michaels, Robin Stille, Michael Villela",Someone with a power drill shows up uninvited to Trish's (Michele Michaels) high-school pajama party....,,Horror,5,,86,1884,FALSE
Switchblade Romance,2003,41,44.547,Alexandre Aja,"C¨¦cile de France, Ma?wenn Le Besco, Philippe Nahon, Franck Khalfoun","A beautiful young Frenchwoman, Alex (Ma?wenn Le Besco), travels out to the country to visit her family and brings along...",,,,,,,FALSE
Maniac,1980,40,39.787,William Lustig,"Joe Spinell, Caroline Munro, Gail Lawrence, Kelly Piper",Childhood abuse triggers a man (Joe Spinell) to kill women and use their scalps to dress his mannequins....,10000000,Comedy,7.7,,386,76132,FALSE
Pieces,1982,46,46.302,Juan Piquer Simon,"Christopher George, Lynda Day George, Edmund Purdom, Paul L. Smith",A frustrated Boston detective searches for the maniac responsible for mutilating a number of university coeds....,1198346,Horror,6,68,85,10563,FALSE
My Bloody Valentine,1981,58,58.38,George Mihalka,"Paul Kelman, Lori Hallier, Neil Affleck, Keith Knight",Friends defy the rules of a legendary murderer and discover he is real when they start celebrating Valentine's Day....,102836002,Horror,5.4,51,101,56536,FALSE
